location,week,new_cases,stringency_index,total_deaths,population,total_tests,death_per_population_pct,tests_per_population
Albania,2021-05-03,485.0,63.89,2412.0,2877800.0,629675.0,0.08381402460212663,0.21880429494752937
Andorra,2021-05-03,141.0,65.74,127.0,77265.0,183476.0,0.164369378114282,2.3746327573933863
Argentina,2021-05-03,142481.0,84.26,67325.0,45195777.0,8951195.0,0.14896303254173504,0.19805379161862843
Australia,2021-05-03,93.0,48.61,910.0,25499881.0,17221109.0,0.0035686441046528807,0.6753407594333479
Austria,2021-05-03,8966.0,73.61,10382.0,9006400.0,34504177.0,0.11527358322970332,3.831073125777225
Azerbaijan,2021-05-03,5336.0,73.15,4680.0,10139175.0,3330985.0,0.046157601580010206,0.32852623610895365
Bahrain,2021-05-10,1662.0,53.7,691.0,1701583.0,4238466.0,0.040609244450608636,2.4908958305295714
Bangladesh,2021-05-10,1514.0,83.33,11972.0,164689383.0,5637339.0,0.007269442499520446,0.03423013006248254
Belarus,2021-04-26,8113.0,19.44,2562.0,9449321.0,5832409.0,0.027113059234626487,0.6172304867196278
Belgium,2021-05-03,21047.0,54.63,24551.0,11589616.0,13010836.0,0.21183618163017653,1.1226287393818744
Bhutan,2021-05-03,110.0,69.91,1.0,771612.0,727281.0,0.0001295988139116551,0.9425475498048241
Bolivia,2021-05-03,11020.0,27.78,13205.0,11673029.0,1240688.0,0.11312402290785023,0.1062867230090836
Bosnia and Herzegovina,2021-05-03,2232.0,45.37,8790.0,3280815.0,922568.0,0.2679212329863159,0.2812008601521268
Brazil,2020-09-14,214174.0,69.91,136895.0,212559409.0,6421441.0,0.06440317116237372,0.030210099991386408
Bulgaria,2021-05-03,5008.0,50.93,16929.0,6948445.0,2584732.0,0.24363724545563792,0.3719871136635607
Canada,2021-05-03,52747.0,75.46,24577.0,37742157.0,32656754.0,0.06511816481501044,0.8652593438154581
Chile,2021-05-10,5339.0,78.24,27318.0,19116209.0,13623503.0,0.14290490337283926,0.7126676110310365
China,2020-08-03,808.0,78.24,4686.0,1439323774.0,160000000.0,0.00032556955458167816,0.11116331355755123
Colombia,2021-05-10,12543.0,82.41,78342.0,50882884.0,15436288.0,0.15396532948093114,0.30336896784388245
Costa Rica,2021-05-03,14495.0,62.04,3365.0,5094114.0,873698.0,0.0660566292784182,0.171511277525395
Cote d'Ivoire,2021-05-03,328.0,25.93,291.0,26378275.0,611119.0,0.0011031805529360809,0.023167511901365803
Croatia,2021-05-03,9321.0,49.07,7469.0,4105268.0,1878350.0,0.1819369648948619,0.4575462552018528
Cuba,2021-05-03,7288.0,81.48,732.0,11326616.0,3861456.0,0.00646265398244277,0.34091877044299906
Cyprus,2021-05-03,3060.0,75.0,336.0,875899.0,5697427.0,0.03836058723665628,6.504662067201812
Denmark,2021-05-03,6148.0,56.48,2498.0,5792203.0,27663562.0,0.04312694151085519,4.776000081488856
Dominican Republic,2021-05-03,4093.0,70.37,3532.0,10847904.0,1423534.0,0.03255928518541462,0.1312266406487373
Ecuador,2021-05-03,12997.0,75.46,19222.0,17643060.0,1283883.0,0.10894935459041685,0.07276985965019674
El Salvador,2021-04-19,911.0,26.85,2103.0,6486201.0,892564.0,0.032422677003071596,0.13760967321240894
Estonia,2021-05-03,2441.0,44.44,1201.0,1326539.0,1337696.0,0.09053635060861384,1.008410608357538
Ethiopia,2021-05-03,4318.0,43.52,3888.0,114963583.0,2620593.0,0.0033819405228523542,0.022794983694967127
Fiji,2021-05-03,20.0,56.48,3.0,896444.0,60054.0,0.0003346555947722334,0.06699135696150568
Finland,2021-05-03,1495.0,52.31,922.0,5540718.0,4677618.0,0.016640442628554637,0.8442259649381181
Gambia,2021-04-19,137.0,38.89,173.0,2416664.0,63977.0,0.007158628588831546,0.026473270591195135
Georgia,2021-05-03,9474.0,64.81,4281.0,3989175.0,4291000.0,0.10731542236176653,1.0756610076018225
Germany,2021-04-26,125984.0,75.0,83292.0,83783945.0,56767785.0,0.0994128409685173,0.6775496785213444
Ghana,2021-04-26,435.0,50.93,779.0,31072945.0,1108763.0,0.002507004083455881,0.035682584962577577
Greece,2021-04-19,17856.0,87.96,10007.0,10423056.0,7848074.0,0.09600831080635085,0.7529532605408625
Guatemala,2021-05-03,6414.0,58.33,7733.0,17915567.0,1308883.0,0.04316357947253358,0.07305841897161279
Hungary,2021-04-26,13374.0,66.67,27802.0,9660350.0,4965147.0,0.2877949556693081,0.513971750505934
Iceland,2021-05-03,34.0,50.0,29.0,341250.0,359962.0,0.008498168498168498,1.0548336996336996
India,2021-05-10,329942.0,73.61,249992.0,1380004385.0,303750077.0,0.018115304756803362,0.22010805204796505
Indonesia,2021-04-26,36080.0,68.98,45796.0,273523621.0,9895532.0,0.016742978113762248,0.03617797967072102
Iran,2021-05-10,18408.0,81.48,75261.0,83992953.0,17206735.0,0.08960394570244483,0.20485926956276915
Iraq,2021-05-03,37795.0,77.31,15771.0,40222503.0,9673212.0,0.039209394800716404,0.24049254219708804
Ireland,2021-05-03,2971.0,80.56,4921.0,4937796.0,4659803.0,0.09965984823998399,0.9437009953428614
Israel,2021-05-03,340.0,43.52,6377.0,8655541.0,16398253.0,0.07367534854262721,1.894538192355625
Italy,2021-05-03,66448.0,75.0,122833.0,60461828.0,61097024.0,0.2031579329688808,1.010505735949631
Jamaica,2021-05-03,841.0,74.07,806.0,2961161.0,337769.0,0.027219053607689687,0.11406640841210593
Japan,2021-05-03,36996.0,49.07,10860.0,126476458.0,11774668.0,0.008586578223118804,0.09309770518715824
Jordan,2021-04-26,10747.0,70.37,8897.0,10203140.0,6727600.0,0.08719864669111665,0.659365646261837
Kazakhstan,2021-05-03,17194.0,68.52,3371.0,18776707.0,10599279.0,0.017953094757243642,0.5644908343086996
Kenya,2021-05-03,3132.0,65.74,2895.0,53771300.0,1675310.0,0.005383912979600642,0.031156211584990507
Kuwait,2021-04-26,9637.0,70.37,1578.0,4270563.0,2343069.0,0.036950631567781576,0.5486557627179367
Latvia,2021-05-03,4213.0,56.48,2212.0,1886202.0,2353909.0,0.11727269931852474,1.2479623073244541
Lebanon,2021-05-10,302.0,70.37,7507.0,6825442.0,4119202.0,0.10998555111888725,0.6035069963234615
Liechtenstein,2021-05-03,30.0,50.93,58.0,38137.0,42225.0,0.15208327870571886,1.1071924902325825
Lithuania,2021-04-26,8383.0,38.89,3950.0,2722291.0,2918825.0,0.1450983748614678,1.0721943392532245
Luxembourg,2021-05-03,948.0,48.15,801.0,625976.0,2728671.0,0.12796017738699247,4.359066481782049
Madagascar,2021-04-19,3541.0,62.04,599.0,27691019.0,177962.0,0.0021631562204337805,0.006426704629396268
Malawi,2021-04-12,114.0,50.93,1138.0,19129955.0,225576.0,0.005948785556474126,0.011791768459465796
Malaysia,2021-05-03,25665.0,65.28,1683.0,32365998.0,10055506.0,0.005199901452135046,0.31068116608052687
Malta,2021-05-03,128.0,67.59,417.0,441539.0,883785.0,0.09444239353715074,2.001601217559491
Mauritania,2021-03-29,156.0,33.33,449.0,4649660.0,254282.0,0.009656620053939427,0.05468829978966204
Mexico,2021-05-03,16919.0,44.44,218985.0,128932753.0,6326672.0,0.16984435289301547,0.049069548681706966
Mongolia,2021-05-03,6078.0,96.3,170.0,3278292.0,2772740.0,0.00518562714974749,0.8457879895994621
Morocco,2021-05-03,2008.0,71.3,9072.0,36910558.0,5823250.0,0.024578333386344364,0.15776651222666424
Mozambique,2021-05-03,228.0,67.59,823.0,31255435.0,528305.0,0.0026331420439357186,0.01690282026150012
Myanmar,2021-02-15,149.0,70.37,3196.0,54409794.0,2482290.0,0.005873942474400841,0.0456221172239689
Namibia,2021-04-12,1128.0,42.59,604.0,2540916.0,371066.0,0.023770955041410264,0.14603631131450234
Nepal,2021-05-03,58637.0,91.67,3720.0,29136808.0,2634504.0,0.012767355984910907,0.09041841508513905
Netherlands,2021-04-26,48059.0,71.3,17425.0,17134873.0,9072388.0,0.10169319609196986,0.5294692292145965
New Zealand,2021-05-03,22.0,22.22,26.0,4822233.0,2054651.0,0.0005391693018566295,0.42607874816500985
Nigeria,2021-05-10,49.0,47.22,2065.0,206139587.0,1977479.0,0.0010017483929469597,0.009592912398723298
Norway,2021-05-03,2896.0,65.74,767.0,5421242.0,5277065.0,0.014148049469106895,0.9734051717300205
Pakistan,2021-05-10,6531.0,78.24,19106.0,220892331.0,12228427.0,0.008649462800951654,0.055359219329348286
Panama,2021-05-03,2552.0,65.74,6271.0,4314768.0,2460508.0,0.14533805757343152,0.5702526763895532
Paraguay,2021-04-26,15461.0,56.48,6572.0,7132530.0,1102653.0,0.0921412177726557,0.15459493335464414
Peru,2021-04-26,49423.0,75.93,62126.0,32971846.0,3459353.0,0.1884213580276943,0.10491839007133541
Philippines,2021-05-03,47007.0,68.06,18472.0,109581085.0,11583985.0,0.016856923802132457,0.10571153771656851
Poland,2021-05-03,29819.0,73.15,70012.0,37846605.0,14445652.0,0.18498885170809906,0.3816895068923619
Portugal,2021-05-03,2305.0,72.22,16992.0,10196707.0,10916847.0,0.1666420345313443,1.0706247615038855
Qatar,2021-05-03,4044.0,79.63,508.0,2881060.0,1937204.0,0.017632399186410557,0.6723927998722692
Romania,2021-05-03,8456.0,61.11,28966.0,19237682.0,7512130.0,0.15056907583772308,0.3904903927614564
Russia,2021-05-03,56145.0,36.57,111425.0,145934460.0,131731000.0,0.07635276822211834,0.9026723366091874
Rwanda,2021-05-10,62.0,71.3,338.0,12952209.0,1344650.0,0.0026095934678015157,0.10381626794317479
Saudi Arabia,2021-05-03,7036.0,50.0,7072.0,34813867.0,17598087.0,0.020313744520251083,0.5054907287374885
Senegal,2021-05-10,22.0,23.15,1120.0,16743930.0,503255.0,0.006688991174712269,0.030055966550266277
Serbia,2021-05-10,918.0,56.48,6576.0,6804596.0,3939470.0,0.09664056470068172,0.5789425264923884
Singapore,2021-05-03,141.0,52.78,31.0,5850343.0,9906797.0,0.0005298834615337938,1.6933702861524529
Slovakia,2021-04-26,3187.0,64.81,11766.0,5459643.0,35248836.0,0.21550859644119588,6.45625290884404
Slovenia,2021-04-26,4644.0,56.48,4263.0,2078932.0,1182002.0,0.2050572120685044,0.56856212709218
South Africa,2021-05-10,1129.0,43.52,54825.0,59308690.0,10906020.0,0.09244007918569774,0.1838857003923034
South Korea,2021-05-03,4044.0,52.78,1875.0,51269183.0,9024491.0,0.0036571676985763554,0.1760217439002295
South Sudan,2021-05-10,4.0,68.52,115.0,11193729.0,156944.0,0.0010273609446860828,0.014020707487201092
Spain,2021-04-26,55460.0,67.59,78216.0,46754783.0,40462407.0,0.1672898364216555,0.8654174910832118
Sri Lanka,2021-05-03,14153.0,84.26,801.0,21413250.0,2986359.0,0.003740674582326363,0.13946313614234176
Switzerland,2021-05-03,10639.0,50.93,10706.0,8654618.0,6744053.0,0.12370274459254008,0.7792432895362915
Taiwan,2021-05-10,15.0,25.0,12.0,23816775.0,217045.0,5.038465535321218e-05,0.009113114600948281
Thailand,2021-04-19,13108.0,56.48,140.0,69799978.0,4351770.0,0.0002005731291204705,0.06234629472232785
Togo,2021-05-03,144.0,42.59,124.0,8278737.0,317624.0,0.0014978130118156912,0.03836623871491509
Trinidad and Tobago,2021-05-03,2042.0,64.81,211.0,1399491.0,145268.0,0.015076910105173952,0.10380059607385828
Tunisia,2021-04-26,11401.0,72.22,10868.0,11818618.0,1305372.0,0.09195660609387662,0.11045047737391969
Turkey,2021-05-03,155944.0,87.04,43029.0,84339067.0,48712606.0,0.05101906095309307,0.5775805653624316
Uganda,2021-04-19,277.0,52.78,341.0,45741000.0,1008838.0,0.0007455018473579502,0.0220554426007302
Ukraine,2021-05-10,2944.0,45.83,48419.0,43733759.0,9668937.0,0.11071309923302042,0.22108634659097107
United Arab Emirates,2021-05-03,12222.0,56.48,1613.0,9890400.0,45816572.0,0.01630874383240314,4.632428617649438
United Kingdom,2021-05-03,14747.0,59.72,127865.0,67886004.0,162226572.0,0.18835252108814654,2.3896909884399737
United States,2021-05-03,286109.0,56.94,581754.0,331002647.0,426539890.0,0.17575508995854042,1.288629845911776
Uruguay,2021-05-03,18191.0,72.22,3122.0,3473727.0,1909479.0,0.08987465048347207,0.5496917287973407
Vietnam,2021-03-15,18.0,63.43,35.0,97338583.0,2482302.0,3.5956964773156803e-05,0.025501727305810483
Zambia,2021-05-03,399.0,39.81,1257.0,18383956.0,1426687.0,0.006837483727659052,0.07760500514687915
Zimbabwe,2021-05-03,138.0,51.85,1576.0,14862927.0,510047.0,0.010603564156642901,0.03431672644291397
